nid,aid
585,13264
586,12420
587,10871
588,10871
589,10871
590,1
591,1
592,1
593,1
594,1
595,1
596,4807
597,4807
598,4807
599,4436
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,31327
608,22382
609,9857
318,31327
610,31327
611,31911
612,6421
612,21804
613,31934
614,6421
615,6421
616,6421
617,30221
617,1
618,1
619,12800
620,11847
621,11319
621,11412
622,34071
623,11847
624,22451
625,11847
626,11847
627,31934
628,31934
629,25052
630,25052
631,6421
632,11847
633,12271
634,4726
635,6421
635,29606
635,31934
636,6421
636,29606
636,31934
637,31934
638,6421
638,29606
638,31934
639,6889
640,6889
641,1
642,2696
643,8496
644,21804
644,19733
645,21804
645,19733
646,6812
647,12800
648,8895
648,33785
648,21321
648,36645
649,8895
649,33785
649,21321
649,36645
650,8895
650,33785
650,21321
651,8895
651,33785
651,21321
652,8895
652,33785
652,21321
653,8895
653,33785
653,21321
654,8895
654,33785
654,21321
655,6878
656,8895
656,33785
656,21321
657,8895
657,33785
657,21321
658,8895
658,33785
658,21321
659,4623
660,1
661,8895
661,33785
661,21321
661,8917
661,26300
662,8895
662,33785
662,21321
663,8895
663,4623
663,31131
664,4623
665,27542
666,9618
667,36241
668,9618
669,9600
670,4750
670,4623
671,4623
672,32893
673,4750
673,4623
674,4750
674,4623
675,4623
676,21246
677,21246
678,11687
679,21246
680,34107
681,563
682,29338
683,22025
684,35237
685,9885
686,8941
687,8941
688,8941
689,4623
690,4623
691,4623
692,11238
693,11251
694,16733
695,31675
696,16733
697,16733
698,16733
699,16733
700,16733
700,20812
701,1
702,1
703,1353
704,26485
705,12921
706,8142
707,8142
708,1
709,16541
710,6098
711,21246
712,16541
713,16541
714,1
715,1
716,33423
716,12578
717,33423
717,12578
10,11905
10,35944
718,1
719,12497
719,25609
720,12500
720,8299
721,8299
722,8299
723,2797
724,20645
725,8302
725,21373
726,1
726,8294
727,8302
727,15950
728,8302
728,21373
728,12497
729,1
730,1
731,9667
732,18133
733,12679
734,7987
735,10741
736,9955
737,1
738,1
739,1
740,1
741,11298
742,21120
742,24633
743,11276
744,11298
745,11298
746,15884
747,11289
747,33225
748,1
749,1
750,1
751,1
752,1
753,1
754,1
755,9982
755,5886
755,4746
756,9982
756,5886
757,9982
758,4746
759,3126
759,4511
760,1
761,1
762,1
763,1
764,1
765,1
766,1
767,8917
768,8917
769,8917
769,1
770,8917
771,12581
772,12581
773,12581
774,12581
775,12581
776,12271
777,12581
777,13307
778,1
779,1
780,10276
781,9075
782,1
783,31681
784,9075
785,15507
786,27472
787,27472
788,27472
789,27472
790,22976
791,1
792,1
793,1
794,1
795,1
796,1
797,1
798,1
799,4671
800,4671
801,32022
802,32022
803,27872
803,4671
804,1
805,13162
806,4623
807,4750
808,4750
809,4750
810,4750
810,4623
811,4750
811,4623
812,26431
813,4750
814,4750
814,4623
815,24940
816,1
817,4623
818,24940
819,19804
820,537
821,537
822,537
823,537
824,19804
825,12853
826,12842
827,12853
828,12637
829,1
830,1
831,1
832,1
833,1
834,1
835,1
836,1
837,1
838,1
839,1
840,1
841,1
842,1
843,1
844,1
845,1
846,1
847,1
848,1
848,16296
849,1
850,1
851,1
852,1
853,1
854,1
855,1
856,1
857,1
858,1
859,1
860,1
861,1
862,1
863,1
864,1
865,1
866,1
867,1
868,1
869,1
870,1
871,1
872,1
873,1
874,1
875,1
876,1
877,1
878,1
879,1
880,1
881,1
882,1
883,1
884,1
885,1
886,1
887,1
888,1
889,1
890,1
891,1
892,1
893,1
894,1
232,1
895,1
896,1
897,1
898,1
899,1
900,1
901,1
902,1
903,1
904,1
905,1
906,1
907,1
908,1
909,1
910,1
911,1
912,1
913,1
914,1
915,1
916,1
917,1
918,1
919,1
920,1
921,1
922,1
923,1
924,1
925,1
926,1
927,1
928,1
929,1
930,1
931,1
932,1
933,1
934,1
935,1
936,1
937,1
938,1
939,1
940,1
941,1
942,1
943,1
944,1
945,1
946,1
947,1
948,1
949,1
950,1
951,1
952,1
953,1
954,1
955,1
956,1
957,1
958,1
959,21956
959,16296
960,21956
960,16296
961,21956
962,21956
963,21956
964,21956
965,21956
966,21956
967,1
968,1
969,1
970,1
971,1
972,1
973,1
974,1
975,1
976,1
977,1
978,1
979,1
980,1
981,1
982,1
983,33695
984,33695
985,33695
986,33695
987,33695
988,33695
989,33695
990,33695
991,1
992,1
993,1
994,1
995,1
996,1
997,1
997,2797
998,1
999,1
1000,1
1001,1
1002,1
1003,1
1004,1
1005,1
1006,1
1007,1
1008,1
1009,1
1010,1
1011,1
1012,1
