nid,aid
638,36690
639,17142
640,1527
641,53341
642,8297
643,3020
644,23621
645,28016
646,39008
647,10096
648,46543
649,12340
650,14968
651,53550
652,48717
653,21010
654,23606
655,24847
656,41996
657,58306
658,50335
659,19615
660,38103
661,18498
662,53305
663,30962
664,10958
665,53882
666,63866
667,4414
668,19826
669,1464
670,22472
671,13414
672,1
673,60028
674,49620
675,25732
676,7024
677,44299
678,53503
679,48626
680,53614
681,39340
682,38955
683,13822
684,10450
685,32635
686,45569
687,54608
688,38000
689,31437
690,27810
691,36797
692,12415
693,26655
694,58184
695,57994
696,30056
697,34880
698,34699
699,24951
700,24951
701,53328
702,34770
703,40174
704,30602
705,56344
706,19476
707,62041
708,2398
709,32825
710,57327
711,2794
712,43941
713,12907
714,8376
715,2338
716,1762
717,49509
718,29749
719,11501
720,16482
721,20118
722,23890
723,22903
724,43163
725,11530
726,17
727,11393
728,58449
729,12381
730,29190
731,56313
732,29099
733,48142
734,56584
735,9216
736,43861
737,45627
738,23860
739,35683
740,29172
741,24112
742,48783
282,24075
743,236
744,32287
745,58324
746,23890
747,17
748,23890
749,45594
750,23890
751,45594
752,48783
753,45594
754,24951
755,56354
756,19972
757,30684
758,11971
759,41685
760,61220
761,25915
762,26322
763,56002
764,16223
765,21311
766,5218
767,51186
768,44785
769,16764
770,6110
771,9802
772,54166
773,41365
774,53136
775,50090
776,28466
777,10624
778,48659
779,53554
780,37662
781,10821
782,44328
783,55849
784,9222
785,37978
786,56066
787,11819
788,27567
789,821
790,30769
791,57848
792,11908
793,5939
794,19447
795,48765
796,29172
797,24414
798,11387
799,32184
800,55519
801,28451
802,26373
803,12694
804,47631
805,28313
806,17984
807,62941
808,32723
809,15895
810,63408
811,22565
812,9271
813,41920
814,47610
815,39022
816,12480
817,59343
818,3138
819,34786
820,29394
821,57198
822,14852
823,39761
824,53554
825,5203
826,25493
827,25336
828,11414
829,48783
830,57212
831,236
832,17
833,58324
834,54531
835,23890
836,7534
837,35161
838,45594
839,57255
840,40711
841,23890
842,35161
843,58324
844,57212
845,22903
846,11393
847,22903
848,11393
849,5140
850,7534
851,20118
852,45594
853,23890
854,17
855,58324
856,57212
857,40711
858,24343
859,48783
860,35161
861,48783
862,54531
863,14361
864,17
865,48783
866,32287
867,48783
868,5140
869,45594
870,20118
871,43163
872,40711
873,17
874,48783
875,23890
876,45699
877,17
878,35161
879,17
880,48783
881,58324
882,43163
883,22903
884,5140
885,17901
886,57212
887,296
888,54531
889,17
890,43220
891,17
892,32287
893,7534
894,43163
895,29190
896,32287
897,17
898,48783
899,17901
900,35161
901,5140
902,23890
903,17
904,23890
905,38
906,11393
907,35161
908,40711
909,16482
910,48783
911,40711
912,48783
913,17901
914,45594
915,32287
916,54531
917,11393
918,23890
919,57212
920,23890
921,42613
922,7534
923,11393
924,17
925,29190
926,35161
927,24219
928,40711
929,54531
930,14356
931,17960
932,35161
933,54531
934,35316
935,35383
936,58428
937,58324
938,23890
939,17
940,14458
941,11393
942,7534
943,48783
944,20118
945,35161
946,11393
947,20118
948,58428
949,32287
950,14434
951,54666
952,16493
953,54654
954,14458
955,7534
956,16482
957,43198
958,49653
959,57212
960,43163
961,35161
962,48783
963,17901
964,57212
965,45594
966,35161
967,17
968,45594
969,57212
970,43163
971,24087
972,17993
973,20279
974,7660
975,11393
976,48783
977,59692
978,23890
979,59692
980,62867
981,20118
982,35161
983,7534
984,60624
985,60624
986,58324
987,60624
988,48890
989,32287
990,58324
991,7534
992,7554
993,24259
994,5140
995,23993
996,11393
997,45594
998,11393
999,22903
1000,62867
1001,35161
1002,48783
1003,29190
1004,23890
1005,11393
1006,48783
1007,32287
1008,17
1009,17901
1010,7534
1011,43178
1012,35161
1013,60624
1014,139
1015,243
1016,35182
1017,17
1018,35161
1019,35161
1020,35161
1021,32287
1022,17
1023,43163
1024,17901
1025,23890
1026,57212
1027,45594
1028,35417
1029,29190
1030,48783
1031,54531
1032,54531
1033,54531
1034,23890
1035,14356
1036,32287
1037,17
1038,54531
1039,35161
1040,48783
1041,16482
1042,35161
1043,11393
1044,5140
1045,24173
1046,16482
1047,48783
1048,17
1049,43163
1050,17965
1051,43163
1052,14356
1053,23890
1054,32287
1055,17
1056,23890
1057,17
1058,48783
1059,32287
1060,32287
1061,35161
1062,43163
1063,7534
1064,40711
1065,35161
1066,32287
1067,17
1068,45706
1069,35161
1070,43163
1071,7534
1072,22960
1073,35161
1074,7534
1075,43163
1076,11393
1077,45594
1078,60624
1079,7534
1080,17
1081,23876
1082,23890
1083,11393
1084,11393
1085,23878
1086,14386
1087,14356
1088,16482
1089,23864
1090,11393
1091,56977
1092,7534
1093,43163
1094,12
1095,43163
1096,48783
1097,40711
1098,42613
1099,17901
1100,48783
1101,23890
1102,45594
1103,11393
1104,43163
1105,20118
1106,23890
1107,48783
1108,35161
1109,5140
1110,54531
1111,35161
1112,32287
1113,48783
1114,32287
1115,57212
1116,60624
1117,35161
1118,48783
1119,62867
1120,48783
1121,5140
1122,35161
1123,40711
1124,42613
1125,45594
1126,29190
1127,23890
1128,17
