nid,aid
641,19594
642,4521
643,56291
644,2171
645,70452
646,32615
647,66274
648,6161
649,55300
650,61098
651,8642
652,48810
653,82989
654,13658
655,77560
656,86353
657,55582
658,48878
659,85002
660,75751
661,85393
662,1025
663,15899
664,38743
665,68061
666,975
667,3918
668,1196
669,26223
670,34863
671,66465
672,38055
673,85029
674,31259
675,66356
676,10643
677,2711
678,56782
679,52411
680,50362
681,85981
682,7438
683,37405
684,50383
685,57750
686,86410
687,5203
688,6510
689,40433
690,83912
691,32438
692,560
693,85007
694,53532
695,44461
696,27550
697,26488
698,53531
699,42213
700,84155
701,66100
702,68001
703,58451
704,54142
705,44957
706,64675
707,85022
708,37414
709,68939
710,51185
711,46956
712,12901
713,25464
714,10338
715,47210
716,63145
717,59321
718,60434
719,12437
720,31722
721,33257
722,27551
723,59038
724,60381
725,69411
726,74888
727,85546
728,10134
729,52759
730,48853
731,987
732,78989
733,64013
734,35846
735,31636
736,25059
737,6618
738,80795
739,80797
740,80798
741,17839
742,32529
743,50814
744,81484
745,45621
746,60402
747,74354
748,9791
749,31502
750,25392
751,59396
752,50417
753,56213
754,56805
755,1221
756,54609
757,56959
758,19840
759,82080
760,86109
761,32233
762,39867
763,26978
764,44483
765,83482
766,23499
767,3818
768,37936
769,34874
770,47017
771,73183
772,79603
773,78062
774,28645
775,62807
776,82018
777,47964
778,85178
779,31739
780,3716
781,26441
782,30365
783,71731
784,21027
785,80181
786,39329
787,43463
788,84240
789,23789
790,32881
791,35787
792,38996
793,46060
794,83523
795,15879
796,40223
797,75743
798,9873
799,44483
800,44827
801,85535
802,84866
803,53411
804,60021
805,68762
806,21086
807,48385
808,11543
809,24462
810,86410
811,46552
812,73138
813,22927
814,15804
815,39848
816,75097
817,84284
818,60782
819,3486
820,57830
821,80384
822,33095
823,67640
824,3718
825,59555
826,10806
827,31961
828,22048
829,13966
830,39417
831,72300
832,79384
833,543
834,7301
835,23109
836,23624
837,26072
838,26204
839,28107
840,34095
841,34832
842,36777
843,39786
844,40678
845,41833
846,45380
847,51842
848,63132
849,63401
850,65853
851,65853
852,69468
853,74869
854,76767
855,78769
856,53446
857,71658
858,29337
859,1719
860,5440
861,5440
862,15986
863,18209
864,40689
865,46950
866,53702
867,56742
868,65904
869,66422
870,80548
871,80604
872,80640
873,80664
874,8678
875,17141
876,75159
877,37895
878,48536
879,57168
880,76795
881,80517
882,80616
883,82065
884,15138
885,18060
886,19223
887,27502
888,34818
889,44861
890,48554
891,52613
892,77560
893,80874
894,80958
895,6613
896,7199
897,14909
898,16156
899,27045
900,30534
901,40340
902,44722
903,48829
904,50555
905,65261
906,67023
907,71864
908,74958
909,77732
910,82927
911,85781
912,6000
913,10957
914,13094
915,13368
916,87443
917,24141
918,34258
919,44729
