nid,aid
596,25758
597,25758
598,25758
599,25758
600,26208
601,11519
602,26208
603,26208
604,26208
605,26208
606,26208
607,26208
608,20039
608,26208
609,27523
318,20039
610,20039
611,18513
612,15289
612,26963
613,2721
614,15289
615,15289
616,15289
617,2287
617,27423
618,9969
619,13174
620,8002
621,25059
622,27246
623,28621
624,3327
625,7420
626,25758
627,2721
628,2721
629,15289
630,15289
631,15289
632,27488
633,25333
634,4952
635,15289
635,2888
635,9768
636,15289
636,2888
636,9768
637,2721
638,15289
638,2888
638,9768
639,11197
640,11197
641,7986
642,8002
643,27036
644,26963
645,26963
646,25275
647,13174
648,25330
648,17600
649,25330
649,17600
650,25330
651,25330
652,25330
653,25330
654,25330
655,25758
656,25330
657,25330
658,25330
659,25758
660,1
661,25330
661,288
662,25330
663,25330
663,25758
663,14765
664,25758
665,24373
666,20045
667,17025
668,20045
669,26208
670,25758
671,25758
672,8601
673,25758
674,25758
675,25758
676,25758
677,25758
678,25758
679,25758
680,260
681,24621
682,25758
683,21742
684,260
685,25758
686,26208
687,26208
688,26208
689,25758
690,25758
691,25758
692,26208
693,15701
694,5980
695,25758
696,5980
697,5980
698,5980
699,5980
700,5980
700,5977
701,1
702,1
703,10290
704,27375
705,25577
706,26208
707,26208
708,8638
709,25714
710,25714
711,25758
712,25714
713,25714
714,8638
715,1
716,26208
717,26208
718,26208
719,15480
720,25327
720,25758
721,25758
722,25758
723,704
724,26845
725,19340
726,10698
726,24473
727,25417
728,19340
729,1
730,26208
731,26208
732,26749
733,25506
734,25758
735,23759
736,25758
737,1
738,1
739,1
740,1
741,26532
742,7207
742,25310
743,25758
744,26532
745,26532
746,28230
747,23338
747,19263
748,25758
749,23165
750,23165
751,23165
752,24185
753,23165
754,26208
755,25048
755,26208
756,25048
757,25048
758,26208
759,26770
759,4932
760,26208
761,26208
762,26208
763,26208
764,26208
765,26208
766,26208
767,26208
768,26208
769,26208
769,22366
770,26208
771,26370
772,26370
773,26370
774,26370
775,26370
776,26208
777,26370
778,21062
779,7483
780,26208
781,23393
782,3918
783,28986
784,23393
785,26717
786,25758
786,27060
787,25758
788,25758
789,25758
790,25758
791,26532
792,26532
793,25758
794,25402
795,1
796,1
797,1
798,1
799,4584
800,26208
801,27551
802,26591
803,26208
804,1
805,25758
806,25758
807,25758
808,25758
809,25758
810,25758
811,25758
812,27060
813,25758
814,25758
815,26208
816,21403
817,26208
818,26208
819,25758
820,25305
821,25305
822,25305
823,25305
824,25758
825,26591
826,26208
827,26591
828,26208
829,29007
830,29007
831,29007
832,29007
833,11937
834,11937
835,11937
836,11937
837,11937
838,11937
838,28085
839,11937
840,11937
841,11937
842,11937
842,28085
843,11937
844,11937
845,11937
846,11937
847,11937
848,11937
848,3147
849,11937
850,11937
851,11937
852,11937
853,11937
854,11937
855,11937
856,17148
857,17148
858,17148
859,25091
860,25091
861,25091
862,25091
863,25091
864,25091
865,25091
866,25091
867,25091
868,25091
869,25091
870,25091
871,25091
872,25091
873,25091
874,28238
875,28238
876,28238
877,28238
878,28238
879,28238
880,28238
881,28238
882,28238
883,28238
884,26329
885,26329
886,26329
887,26329
888,26329
889,26329
890,26329
891,26329
892,26329
893,26329
894,26329
232,26329
895,25871
896,25871
897,25871
898,25871
899,25871
900,25871
901,25871
902,25871
903,25871
904,25871
905,25871
906,25871
907,25871
908,25871
909,25871
910,25871
911,25871
912,3969
913,3969
914,3969
915,3969
916,3969
917,3969
918,3969
919,3969
920,3969
921,3969
922,3969
923,3969
924,3969
925,3969
926,3969
927,3969
928,26567
929,26567
930,26567
931,26567
932,5376
933,5376
934,5376
935,5376
936,25601
937,25601
938,25601
938,25604
939,25601
940,25601
941,25601
942,25601
943,25601
944,25601
945,25601
946,25601
947,25601
948,25601
949,25601
950,25601
950,25604
951,25660
952,25621
953,25621
954,25660
955,25621
956,25621
957,25660
958,25621
959,2978
959,3147
960,2978
960,3147
961,2978
962,2978
963,2978
964,2978
965,2978
966,2978
967,27158
968,27158
969,27158
970,27158
971,11920
972,11920
973,11920
974,11920
975,11920
976,11920
977,11920
978,11920
232,11920
979,11920
980,11920
981,11920
982,11920
983,19308
984,19308
985,19308
986,19308
987,19308
988,19308
989,19308
990,19308
991,26364
992,26364
993,26364
994,26364
995,26364
996,23624
997,23624
997,7206
998,23624
999,23624
1000,27203
1001,27203
1002,20823
1003,20823
1004,20823
1005,20823
1006,20823
1007,20823
1008,25533
1009,25533
1010,25533
1011,25533
1012,4218
1013,7279
1013,23180
1014,7279
1014,3567
1015,7279
1015,7945
1016,7279
1016,7945
1017,7279
1017,2879
1018,16671
1019,16671
1020,16671
1021,16671
1022,16671
1023,25939
1024,25939
1025,9936
1026,9936
1027,9936
1028,9936
1029,9936
1030,9936
1031,9936
1032,9936
1033,9936
1034,9936
1035,9936
1036,9936
1037,14328
1038,14328
1039,3109
1040,3109
1041,3109
1042,3109
1043,3109
1044,3109
1045,3109
1046,3109
1047,3109
1048,3109
1049,3109
1050,3109
1051,3109
1052,3109
1053,3109
1054,3109
1055,3109
1056,3109
1057,3109
1058,7206
1059,7206
1060,7206
1061,7206
1061,17145
1062,7206
1063,7206
1064,7206
1065,7206
1066,7206
1067,7206
1068,7206
1069,7206
1070,7206
1071,7206
1072,7206
1073,7206
1074,7206
1075,7206
1076,7206
1077,7206
1078,7206
1079,7206
1080,7206
1081,25922
1081,25921
1082,25922
1083,25922
1084,25922
1085,25922
1086,25922
1087,25922
1087,25921
1088,25922
1088,25921
1089,25922
1089,25921
1090,25922
1091,25922
1092,25922
1093,25922
1094,25922
1095,25922
1096,26383
1097,26383
1098,26383
1099,26383
1100,26383
1101,26383
1102,26383
1103,26383
1104,26383
1105,26383
1106,26383
1107,26383
1108,26383
1109,26383
1110,26383
1111,26383
1112,26383
1113,26383
1114,26383
1115,26383
1116,26383
1117,26383
1118,26383
1119,23590
1119,13211
1120,20484
1121,20484
1122,20484
1123,20484
1124,20484
1125,20484
1126,20484
1127,20484
1128,20484
1129,20484
1130,20484
1131,20484
1132,20484
1133,20484
1134,20484
1135,20484
1136,20484
1137,20484
1138,20484
1139,20484
1140,20484
1141,20484
1142,20484
1143,20484
1144,20484
1145,20484
1146,20484
1147,20484
1148,20484
1149,20484
1150,20484
1151,20484
1152,20484
1153,20484
1154,20484
1155,20484
1156,20484
1157,20484
1158,20484
1159,20484
1160,20484
1161,20484
1162,20484
1163,20484
1164,20484
1165,20484
1166,20484
1167,20484
1168,20484
1169,20484
1170,20484
1171,20484
1172,20484
1173,5995
1174,5995
1175,5995
1176,5995
1177,5995
1178,5995
1179,5995
1180,5995
1181,5995
1182,5995
1183,5995
1184,5995
1185,5995
1186,5995
