aid,attribute
344,PROCEEDINGS OF THE ASAP2015 2015 IEEE 26TH INTERNATIONAL CONFERENCE ON APPLICATION-SPECIFIC SYSTEMS
345,PROCEEDINGS OF THE ASME 10TH ANNUAL DYNAMIC SYSTEMS AND CONTROL CONFERENCE
346,PROCEEDINGS OF THE ASME 10TH INTERNATIONAL CONFERENCE ON NANOCHANNELS
347,PROCEEDINGS OF THE ASME 11TH INTERNATIONAL CONFERENCE ON ENERGY SUSTAINABILITY
348,PROCEEDINGS OF THE ASME 11TH INTERNATIONAL MANUFACTURING SCIENCE AND ENGINEERING CONFERENCE
349,PROCEEDINGS OF THE ASME 12TH INTERNATIONAL CONFERENCE ON NANOCHANNELS
350,PROCEEDINGS OF THE ASME 12TH INTERNATIONAL MANUFACTURING SCIENCE AND ENGINEERING CONFERENCE - 2017
351,PROCEEDINGS OF THE ASME 13TH INTERNATIONAL CONFERENCE ON NANOCHANNELS
352,PROCEEDINGS OF THE ASME 31ST INTERNATIONAL CONFERENCE ON OCEAN
353,PROCEEDINGS OF THE ASME 36TH INTERNATIONAL CONFERENCE ON OCEAN
354,PROCEEDINGS OF THE ASME 5TH ANNUAL DYNAMIC SYSTEMS AND CONTROL DIVISION CONFERENCE AND JSME 11TH MOTION AND VIBRATION CONFERENCE
355,PROCEEDINGS OF THE ASME 5TH INTERNATIONAL CONFERENCE ON ENERGY SUSTAINABILITY 2011
356,PROCEEDINGS OF THE ASME 6TH INTERNATIONAL CONFERENCE ON ENERGY SUSTAINABILITY - 2012
357,PROCEEDINGS OF THE ASME 7TH INTERNATIONAL CONFERENCE ON ENERGY SUSTAINABILITY
358,PROCEEDINGS OF THE ASME 8TH ANNUAL DYNAMIC SYSTEMS AND CONTROL CONFERENCE
359,PROCEEDINGS OF THE ASME 9TH ANNUAL DYNAMIC SYSTEMS AND CONTROL CONFERENCE
360,PROCEEDINGS OF THE ASME 9TH INTERNATIONAL MANUFACTURING SCIENCE AND ENGINEERING CONFERENCE
361,PROCEEDINGS OF THE ASME CONFERENCE ON SMART MATERIALS
362,PROCEEDINGS OF THE ASME CONFERENCE ON SMART MATERIALS ADAPTIVE STRUCTURES AND INTELLIGENT SYSTEMS - 2013
363,PROCEEDINGS OF THE ASME FLUIDS ENGINEERING DIVISION SUMMER MEETING
364,PROCEEDINGS OF THE ASME INTERNATIONAL DESIGN ENGINEERING TECHNICAL CONFERENCES AND COMPUTERS AND INFORMATION IN ENGINEERING CONFERENCE
365,PROCEEDINGS OF THE ASME INTERNATIONAL DESIGN ENGINEERING TECHNICAL CONFERENCES AND COMPUTERS AND INFORMATION IN ENGINEERING CONFERENCE - 2011
366,PROCEEDINGS OF THE ASME INTERNATIONAL DESIGN ENGINEERING TECHNICAL CONFERENCES AND COMPUTERS AND INFORMATION IN ENGINEERING CONFERENCE 2012
367,PROCEEDINGS OF THE ASME INTERNATIONAL MANUFACTURING SCIENCE AND ENGINEERING CONFERENCE
368,PROCEEDINGS OF THE ASME INTERNATIONAL MECHANICAL ENGINEERING CONGRESS AND EXPOSITION
369,PROCEEDINGS OF THE ASME INTERNATIONAL MECHANICAL ENGINEERING CONGRESS AND EXPOSITION (IMECE 2010)
370,PROCEEDINGS OF THE ASME INTERNATIONAL MECHANICAL ENGINEERING CONGRESS AND EXPOSITION - 2010
371,PROCEEDINGS OF THE ASME INTERNATIONAL MECHANICAL ENGINEERING CONGRESS AND EXPOSITION - 2012
372,PROCEEDINGS OF THE ASME JOINT RAIL CONFERENCE
373,PROCEEDINGS OF THE ASME POWER CONFERENCE
374,PROCEEDINGS OF THE ASME PRESSURE VESSELS AND PIPING CONFERENCE
375,PROCEEDINGS OF THE ASME SUMMER BIOENGINEERING CONFERENCE
376,PROCEEDINGS OF THE ASME SUMMER BIOENGINEERING CONFERENCE - 2013
